Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-1.96,-2.96
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.880e-03,1.56906,1.40867
-2.860e-03,1.35,1.20219
-2.840e-03,1.16031,1.01016
-2.820e-03,0.950625,0.832187
-2.800e-03,0.784687,0.669375
-2.780e-03,0.613437,0.520156
-2.760e-03,0.464375,0.3875
-2.740e-03,0.34375,0.273828
-2.720e-03,0.229687,0.18
-2.700e-03,0.140625,0.105859
-2.680e-03,0.075625,0.0433594
-2.660e-03,0.0378125,-0.00046875
-2.640e-03,-0.011875,-0.0278906
-2.620e-03,-0.010625,-0.0398437
-2.600e-03,0.001875,-0.025625
-2.580e-03,0.0221875,0.008125
-2.560e-03,0.0678125,0.0552344
-2.540e-03,0.146875,0.12
-2.520e-03,0.21625,0.203281
-2.500e-03,0.333125,0.289922
-2.480e-03,0.458438,0.419297
-2.460e-03,0.60125,0.550156
-2.440e-03,0.77875,0.696797
-2.420e-03,0.940625,0.862344
-2.400e-03,1.14844,1.0468
-2.380e-03,1.36531,1.23281
-2.360e-03,1.56312,1.4318
-2.340e-03,1.79062,1.64531
-2.320e-03,2.05312,1.86961
-2.300e-03,2.31031,2.10328
-2.280e-03,2.60531,2.33906
-2.260e-03,2.85719,2.52141
-2.240e-03,3.16312,2.54391
-2.220e-03,3.455,2.53969
-2.200e-03,3.73188,2.53352
-2.180e-03,3.99812,2.52516
-2.160e-03,4.2825,2.51984
-2.140e-03,4.59375,2.52336
-2.120e-03,4.91219,2.51953
-2.100e-03,5.22031,2.52047
-2.080e-03,5.53281,2.51484
-2.060e-03,5.85313,2.51602
-2.040e-03,6.17344,2.51633
