Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-2.04,-0.42
,,
,,
,,
Label,,
TIME,CH1,CH2
-5.420e-03,9.01,0.666953
-5.400e-03,8.81906,0.667344
-5.380e-03,8.59906,0.6725
-5.360e-03,8.38687,0.668281
-5.340e-03,8.15,0.666328
-5.320e-03,7.88969,0.671094
-5.300e-03,7.63469,0.667188
-5.280e-03,7.35781,0.672578
-5.260e-03,7.07781,0.673594
-5.240e-03,6.81,0.671797
-5.220e-03,6.50656,0.673359
-5.200e-03,6.21031,0.671719
-5.180e-03,5.88875,0.675156
-5.160e-03,5.585,0.671094
-5.140e-03,5.26625,0.672344
-5.120e-03,4.94406,0.670937
-5.100e-03,4.63687,0.673047
-5.080e-03,4.33875,0.667656
-5.060e-03,4.05813,0.669375
-5.040e-03,3.78437,0.664687
-5.020e-03,3.48625,0.664297
-5.000e-03,3.18781,0.666016
-4.980e-03,2.90813,0.663281
-4.960e-03,2.62594,0.668516
-4.940e-03,2.35719,0.65875
-4.920e-03,2.0725,0.657656
-4.900e-03,1.83438,0.660937
-4.880e-03,1.58594,0.657188
-4.860e-03,1.39531,0.656406
-4.840e-03,1.16719,0.657344
-4.820e-03,0.976562,0.657891
-4.800e-03,0.799062,0.630469
-4.780e-03,0.620625,0.535547
-4.760e-03,0.466563,0.415625
-4.740e-03,0.345625,0.297812
-4.720e-03,0.237812,0.211875
-4.700e-03,0.16375,0.1375
-4.680e-03,0.10625,0.0741406
-4.660e-03,0.03,0.0302344
-4.640e-03,-0.004375,-0.00289063
-4.620e-03,-0.011875,-0.00882813
-4.600e-03,-0.0084375,-0.00140625
-4.580e-03,0.019375,0.0203906
-4.560e-03,0.069375,0.0665625
-4.540e-03,0.147813,0.127188
-4.520e-03,0.210313,0.200234
-4.500e-03,0.329375,0.2775
-4.480e-03,0.440313,0.383594
-4.460e-03,0.602187,0.500938
-4.440e-03,0.758437,0.606094
-4.420e-03,0.953438,0.642656
-4.400e-03,1.14219,0.640938
-4.380e-03,1.32781,0.6325
-4.360e-03,1.55219,0.63125
-4.340e-03,1.78094,0.6325
-4.320e-03,2.01219,0.626172
-4.300e-03,2.29281,0.62375
-4.280e-03,2.56969,0.626641
-4.260e-03,2.84594,0.624297
-4.240e-03,3.13469,0.628828
-4.220e-03,3.42406,0.627969
-4.200e-03,3.73563,0.625703
-4.180e-03,4.01406,0.620156
-4.160e-03,4.27187,0.626875
-4.140e-03,4.59063,0.622891
-4.120e-03,4.90469,0.624922
-4.100e-03,5.1925,0.623906
-4.080e-03,5.52813,0.626016
-4.060e-03,5.82,0.627734
-4.040e-03,6.14031,0.62875
-4.020e-03,6.46781,0.625625
-4.000e-03,6.7225,0.628828
-3.980e-03,7.02156,0.631875
-3.960e-03,7.31188,0.626563
-3.940e-03,7.58688,0.634609
-3.920e-03,7.84531,0.633281
-3.900e-03,8.09437,0.632266
-3.880e-03,8.32344,0.633437
-3.860e-03,8.56719,0.635781
-3.840e-03,8.77188,0.636016
-3.820e-03,8.97875,0.638594
-3.800e-03,9.14656,0.638672
-3.780e-03,9.26313,0.643203
-3.760e-03,9.43375,0.640547
-3.740e-03,9.54812,0.641563
-3.720e-03,9.65406,0.641406
-3.700e-03,9.74719,0.647813
-3.680e-03,9.83031,0.645703
-3.660e-03,9.87281,0.655
-3.640e-03,9.89688,0.650156
-3.620e-03,9.91812,0.645703
-3.600e-03,9.91156,0.661641
-3.580e-03,9.87031,0.651172
-3.560e-03,9.835,0.659609
-3.540e-03,9.75625,0.659453
-3.520e-03,9.6625,0.663906
-3.500e-03,9.57188,0.660078
-3.480e-03,9.43844,0.662891
-3.460e-03,9.30219,0.667734
-3.440e-03,9.16688,0.666953
-3.420e-03,9.01344,0.666797
-3.400e-03,8.81813,0.668203
-3.380e-03,8.63438,0.665859
-3.360e-03,8.38719,0.668438
-3.340e-03,8.15344,0.672109
-3.320e-03,7.9125,0.673359
-3.300e-03,7.63375,0.667031
-3.280e-03,7.36656,0.675781
-3.260e-03,7.08531,0.671719
-3.240e-03,6.79438,0.672813
-3.220e-03,6.51562,0.671328
-3.200e-03,6.21031,0.672813
