latitude,longitude,gpsAltitude
53.649166,9.703418,77.7
53.649166,9.703418,77.7
53.649166,9.703418,77.7
53.649166,9.703418,77.7
53.649166,9.703532,81.5
53.649166,9.703532,81.5
53.649166,9.703532,81.5
53.649166,9.703532,81.5
53.649166,9.703532,81.5
53.649158,9.70379,90.3
53.649158,9.70379,90.3
53.649158,9.70379,90.3
53.649158,9.70379,90.3
53.649155,9.703897,93.8
53.649155,9.703897,93.8
53.649155,9.703897,93.8
53.649147,9.704003,97.2
53.649147,9.704003,97.2
53.649147,9.704003,97.2
53.649147,9.704003,97.2
53.649147,9.704003,97.2
53.649147,9.704003,97.2
53.649147,9.704003,97.2
53.649128,9.704251,104.4
