x_meters,y_meters,altitude_meters
-171.56058428844136,17.012823776690556,68.3
-171.56058428844136,17.012823776690556,68.3
-157.3242853232875,17.012823776690556,62.4
-153.6993017905214,17.34640855652858,62.4
-153.6993017905214,17.34640855652858,62.4
-153.6993017905214,17.34640855652858,62.4
-153.6993017905214,17.34640855652858,62.4
-153.6993017905214,17.34640855652858,62.4
-153.6993017905214,17.34640855652858,62.4
-131.94940059371487,18.23596797037308,57.9
-128.3903258524002,18.23596797037308,57.3
-128.3903258524002,18.23596797037308,57.3
-128.3903258524002,18.23596797037308,57.3
-128.3903258524002,18.23596797037308,57.3
-128.3903258524002,18.23596797037308,57.3
-128.3903258524002,18.23596797037308,57.3
-128.3903258524002,18.23596797037308,57.3
-106.77224223870628,19.459112162640956,53.4
-99.58818396462547,19.903891869563207,53.4
-99.58818396462547,19.903891869563207,53.4
-99.58818396462547,19.903891869563207,53.4
-99.58818396462547,19.903891869563207,53.4
-99.58818396462547,19.903891869563207,53.4
-99.58818396462547,19.903891869563207,53.4
-81.46326630068994,21.23823098891531,50.2
-77.83828276781898,21.23823098891531,50.2
-77.83828276781898,21.23823098891531,50.2
-77.83828276781898,21.23823098891531,50.2
-77.83828276781898,21.23823098891531,50.2
-77.83828276781898,21.23823098891531,50.2
-77.83828276781898,21.23823098891531,50.2
-77.83828276781898,21.23823098891531,50.2
-52.59521562135892,22.906154888105434,49.5
-52.59521562135892,22.906154888105434,49.5
-45.47706613872958,23.350934595735005,49.8
-45.47706613872958,23.350934595735005,49.8
-38.42482544765655,23.795714301949932,49.8
-38.42482544765655,23.795714301949932,49.8
-38.42482544765655,23.795714301949932,49.8
-38.42482544765655,23.795714301949932,49.8
-38.42482544765655,23.795714301949932,49.8
-38.42482544765655,23.795714301949932,49.8
-38.42482544765655,23.795714301949932,49.8
-4.81134177994091,27.13156210103751,54.9
-4.81134177994091,27.13156210103751,54.9
-1.5818109963028943,27.576341807252437,55.8
-1.5818109963028943,27.576341807252437,55.8
-1.5818109963028943,27.576341807252437,55.8
10.677224223839186,28.79948600093496,59.7
10.677224223839186,28.79948600093496,59.7
16.54310666773746,29.689045414072133,61.9
16.54310666773746,29.689045414072133,61.9
22.27717152873278,30.133825120994384,64.3
22.27717152873278,30.133825120994384,64.3
22.27717152873278,30.133825120994384,64.3
27.813510015059215,30.57860482720931,67.0
27.813510015059215,30.57860482720931,67.0
27.813510015059215,30.57860482720931,67.0
38.22709907298766,31.356969313262262,72.5
38.22709907298766,31.356969313262262,72.5
43.49980239350818,31.80174902018451,75.1
43.49980239350818,31.80174902018451,75.1
48.64068813081131,31.80174902018451,77.7
48.64068813081131,31.80174902018451,77.7
48.64068813081131,31.80174902018451,77.7
48.64068813081131,31.80174902018451,77.7
56.15429036235914,31.80174902018451,81.5
56.15429036235914,31.80174902018451,81.5
56.15429036235914,31.80174902018451,81.5
56.15429036235914,31.80174902018451,81.5
56.15429036235914,31.80174902018451,81.5
73.15875857078102,30.912189607047335,90.3
73.15875857078102,30.912189607047335,90.3
73.15875857078102,30.912189607047335,90.3
73.15875857078102,30.912189607047335,90.3
80.21099926185406,30.57860482720931,93.8
80.21099926185406,30.57860482720931,93.8
80.21099926185406,30.57860482720931,93.8
87.19733116147562,29.689045414072133,97.2
87.19733116147562,29.689045414072133,97.2
87.19733116147562,29.689045414072133,97.2
87.19733116147562,29.689045414072133,97.2
87.19733116147562,29.689045414072133,97.2
87.19733116147562,29.689045414072133,97.2
87.19733116147562,29.689045414072133,97.2
103.54271145475383,27.576341807252437,104.4
